,acid jazz,acid rock,acoustic country,acoustic pop,afro house,afro r&b,afrobeat,afrobeats,afropiano,afropop,agronejo,alternative metal,alternative r&b,alternative rock,alté,ambient,anti-folk,aor,argentine trap,arrocha,art pop,art rock,banda,baroque pop,bass house,bassline,bedroom pop,big room,blues rock,boom bap,brazilian bass,brazilian funk,brazilian hip hop,brazilian phonk,brazilian pop,brazilian trap,brega,brega funk,britpop,brooklyn drill,chicago drill,chilean mambo,chilean trap,christian hip hop,christmas,classic country,classic rock,classic soul,classical,colombian pop,corrido,corridos bélicos,corridos tumbados,country,country hip hop,country rock,dance,dance pop,dancehall,dark ambient,darkwave,deep house,dembow,dembow belico,desi hip hop,disco,disco house,doom metal,dream pop,drift phonk,drill,drum and bass,east coast hip hop,edm,electro,electro corridos,electro house,electronic,electronica,emo,emo rap,eurodance,europop,flamenco urbano,folk pop,folk rock,forró,french house,french pop,frenchcore,funk,funk carioca,funk consciente,funk de bh,funk pop,funk rock,future house,g-funk,g-house,gangster rap,garage rock,german pop,glam metal,glam rock,gothic rock,grime,grunge,grupera,guaracha,hard house,hard rock,hard techno,hardcore hip hop,hardcore punk,hardstyle,heavy metal,hi-nrg,hip hop,house,hyperpop,hypertechno,indie,indie folk,indie rock,indie soul,indonesian indie,indonesian pop,italo dance,italo disco,jam band,jangle pop,japanese classical,jazz beats,jazz house,jazz rap,jersey club,jungle,k-ballad,k-pop,k-rap,k-rock,latin,latin afrobeats,latin hip hop,latin house,latin pop,lo-fi,lo-fi beats,lo-fi hip hop,lo-fi house,madchester,malayalam hip hop,mambo,mariachi,melodic house,melodic rap,metal,metalcore,mexican hip hop,minimalism,moombahton,motown,musicals,música mexicana,neo soul,neo-psychedelic,neoclassical,neoperreo,neue deutsche welle,new jack swing,new wave,new york drill,nightcore,norteño,northern soul,nu metal,old school hip hop,pagode,pagode baiano,phonk,piseiro,pop,pop country,pop punk,pop rock,pop urbano,post-grunge,post-punk,power pop,progressive house,progressive metal,progressive rock,proto-punk,psychedelic rock,punk,quiet storm,r&b,rage rap,rally house,ranchera,rap,rap metal,rap rock,red dirt,reggae,reggae rock,reggaeton,reggaeton chileno,reggaeton mexa,rkt,rock,rock and roll,roots reggae,sad sierreño,salsa choke,samba,schlager,seresta,sertanejo,sertanejo tradicional,sertanejo universitário,sexy drill,shoegaze,sierreño,singer-songwriter,ska,ska punk,skate punk,slap house,slowcore,soft pop,soft rock,soul,southern hip hop,southern rock,speed metal,spoken word,stoner rock,stutter house,swedish pop,synthpop,tech house,techengue,techno,tekno,texas country,thrash metal,trance,trap,trap funk,trap latino,trap soul,trip hop,tropical house,turreo,uk drill,uk garage,uk grime,urbano latino,variété française,west coast hip hop,yacht rock
Component_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21288723854468208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6386617156340462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.36703849596601,0.21288723854468208,0.10644361927234104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.26418914294518,76.32007501826851,78.12961654589832,0.10644361927234104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Component_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15680806955192023,0.0,0.0,0.1535580135114566,0.0,0.0,0.0,0.1515965966887317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3031931933774634,39.869904929136446,5.0026876907281475,0.1515965966887317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1605029312662426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15946961820076583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15456685538466777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Component_3,0.0,0.8274592309837505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10672187475593314,0.0,4.7806050338676656,0.0,0.0,0.1838798291075001,1.9307382056287512,0.0,0.0,0.10337095913893955,1.471038632860001,0.0,0.3677596582150002,0.0,0.0,0.0,0.0,1.2871588037525006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1032789746450005,0.0,0.0,0.0,0.0,0.0,0.3919938490176389,0.15389785942836565,12.319948550202508,0.1838798291075001,0.0,0.0,0.0,0.0,0.0,0.13215311141941077,0.0,0.45969957276875023,0.0,0.0,0.0,0.0,0.27581974366125017,0.0,0.0,0.0,0.0,0.3677596582150002,0.0,0.18387982910750011,0.08411380575272032,0.0,0.0,0.0,0.10126375889873702,0.0,0.09193991455375004,0.0,0.0,0.09193991455375004,0.0,0.10662220060059228,0.0,1.3790987183062509,0.8274592309837503,0.0,0.0,0.18387982910750011,0.0,0.11702062702147063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8387982909683203,0.0,0.0,0.0,0.0,0.21184769031559808,0.09193991455375004,4.0453562403650025,2.2984978638437514,0.09193991455375006,0.0,2.1146180347362513,0.0,0.0,0.0,5.4244549586712525,0.0,0.0,0.0,0.0,0.8274592309837505,0.2758197436612501,0.1150390183814807,0.0,0.0,0.0,0.0,0.0,0.12095121415174276,0.0,0.0,0.0,0.0,0.1838798291075001,0.18387982910750011,0.8274592309837505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09551225702269071,0.0,0.0,0.0,0.12255203141348034,0.0,0.0,0.0,0.0,0.9193991455375004,0.0,0.0,0.0,0.0,0.0,0.8274592309837505,0.0,0.0,0.0,0.0,0.3677596582150002,0.0,0.0,1.4138228814158978e-10,0.0,0.0,0.0,0.09193991455375004,0.0,2.2065579492900014,0.0,0.0,0.0,0.09193991455375004,0.17166315849022765,0.11007309659714579,0.0,0.0,0.0,0.0,0.0,0.0,0.7129000469295298,0.0,0.0,1.637738970423552,0.18387982910750011,0.36775965821500023,0.0,0.0,0.9193991455375006,0.8274592309837505,1.2871588037525006,1.56297854741375,0.1838798291075001,0.13184282148477391,0.0,0.0,0.0,0.0,0.1715354119743506,0.3053834308944932,0.0,0.7862215861771275,0.09193991455375004,0.0,0.0,0.0,0.0,13.59762241892377,1.0113390600912506,0.09193991455375004,0.0,0.0,0.0,0.09193991455375004,0.0,0.0,0.0,0.0,0.0,0.3677596582150002,0.0,0.15389785942836565,0.09193991455375004,0.09193991455375004,0.3677596582150002,0.0,0.09193991455375004,0.0,3.309836923935002,0.2758197436612501,0.0,1.471038632860001,0.09193991455375006,0.0,0.2758197436612501,0.0,0.5516394873225003,1.654918461967501,0.0,0.0,0.0,0.0,0.0,0.45969957276875023,0.09193991455375004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3677596582150002,0.0,2.6662575220587517
Component_4,0.20179029826424436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27608429668424816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0089514913212219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.88516356583146,0.0,0.0,0.0,0.0,0.0,0.0,1.5416127390811024e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7460645731778956e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.659079842720065,0.0,8.676982825362508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.825064175699421,0.0,0.0,0.0,0.0,14.266220402878721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6232738774351767,0.0,0.0,0.0,0.0,0.0,0.0,1.198474172890386e-12,0.0,0.0,0.0,2.6663384051936084e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6683453131725345,0.0,0.0,0.0,0.0,0.6053708947927332,0.0,0.0,0.0,0.0,0.0,0.3836218875007646,16.910586233077574,0.0,0.0,0.0,0.0,0.0,0.0,2.3159325216277594e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4489691155886354e-14,0.0,0.0,0.0,3.0064396456031033,0.37624678609277146,1.7498071904861412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4680777347950448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20179029826424436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.317296232183393,0.0
Component_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.287177367450216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.978477771602886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.321794341862554,0.9260987875419757,0.0,0.30869959584732526,1.234798383389301,0.9260987875419757,0.30869959584732526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.778296362625927,0.0,0.0,0.0,4.321794341862554,0.6173991916946505,1.5434979792366266,0.6173991916946505,0.30869959584732526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8521975750839517,0.30869959584732526,0.0,7.100090704488482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9260987875419757,0.0,0.9260987875419757,23.461169284396718,0.6173991916946504,21.60897170931277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.234798383389301,3.086995958473253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Component_6,0.0,0.0,0.0,0.0,1.517122191180477,0.0,0.0,0.0,0.0,0.0,0.0,6.295142107176942e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9102733147082862,3.641093258833145,0.0,1.8205466294165724,0.0,0.0,0.9102733147082862,0.0,0.0,1.791993995348578,0.0,0.0,0.0,0.0,0.0,4.0135412066328976e-05,0.0,0.0,0.0,0.30342443823609544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5971819230776565,0.0,0.0,0.0,0.0,20.026012923582297,0.0,0.0,0.6068488764721909,0.0,0.0,0.0,0.0,0.6068488764721909,0.912675386719909,1.2136977529443815,0.0,1.8288362422054487,0.6068488764721909,0.024454816006703906,0.9063474891252481,0.9102733147082862,0.6068488764721909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22816884613893773,0.3034244382360954,0.0,0.0,0.0,0.0,0.0,0.0,1.8205466294165724,0.0,0.6068488764721908,0.0,0.0,0.0,0.0,0.0,0.0,0.8351076201709606,0.0,0.0,0.0,0.6068488764721908,0.0,0.30342443823609544,0.0,0.0,0.3034244382360954,0.0,0.0,0.05994551470453413,6.882285433859132,0.7952284963087884,1.8205466294165724,0.0,0.0,0.0,0.0,0.0,0.0,0.6068488764721909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6068488764721909,0.6068488764721909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8205466294165724,0.0,0.0,0.0,0.0,0.0,0.0,0.6068488764721909,0.0,0.0,0.6068488764721908,3.546296956105332e-09,0.0,0.30342443823609544,0.0,0.0,0.6068488764721908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22816884650790087,0.30342443823609544,0.0,0.0,5.0316704743167744e-05,0.0,0.0,0.0,2.3988431326777784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3034244382360954,0.30342443823609544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3034244382360954,0.0,7.852565186101864e-15,0.07477460782958238,0.302751730581144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7518682276588493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30342443823609544,0.0,0.0,0.0,0.0,0.0,0.0,3.034244382360954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4273955058887635,0.0,0.0,5.158215450013622,0.6068488764721908,1.2136977529443818,0.30342443823609544,0.0,0.0,1.2136977529443815,0.0,0.0,0.0024306709383994625,0.0,0.0,0.7841600699530584,0.0,0.7598566160703385,0.3034244382360954,0.8351076201709606,0.0,0.0,0.012662430350450594,0.0
Component_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38514663181062003,0.0,0.4934922119619626,0.0,0.0,0.0,0.9869844239239253,0.0,0.0001528775229915231,0.0,4.194683801676683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24674610598098132,0.0,0.26996523530600797,0.2467461059809813,0.0,0.0,0.2467461059809813,0.0,0.0,0.0,1.727222741866869,2.220714953828832,0.0,0.0,0.0,0.0,0.0,0.0,0.2467461059809813,6.415398755505515,5.675160437562571,6.168652649524533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2467461059809813,4.934922119619627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6422580960788915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4934922119619627,0.0,0.0,0.0,0.0,0.0,0.0,0.24674610598098132,0.2467461059809813,0.0,0.0,0.2467461059809813,0.0,0.0,0.0,0.0,0.0,1.0082024748240563e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.4934922119619626,0.24674610598098135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20456891455112142,0.0,0.0019194729697150626,0.0,0.0,0.38514663181062003,0.24674610598098132,0.24674610598098132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.915231398990086,0.49349221196196263,0.49349221196196263,0.0,0.2467461059809813,0.0,0.0,0.0,0.0,0.0,0.0,0.7402383179429441,0.2467461059809813,0.0,0.0,0.0,0.0,0.49349221196196263,0.0,0.0,0.0,0.0,4.9349221196196265,0.0,0.0,0.0,0.24674610598098135,0.0,0.0,0.0,0.0,0.0,0.740238317942944,0.0,0.0,0.0,0.0,0.0,0.26996502317592325,0.0,0.0,0.0,0.0,0.0,0.740238317942944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4934922119619626,0.0,0.0,0.0,0.0,0.0,0.0,13.288831144423211,3.454445483733739,1.2337305299049066,1.4804766358858883,0.0,0.0,0.0,3.7011915897147207,0.49349221196196263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9609532717717766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4934922119619627,0.0,6.906914335023307,0.0,0.0,0.0,0.24674610598098135,0.0,0.0,0.0,9.630412091584857,0.0,7.146897115981738e-09,0.0
Component_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34558617053407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69117234106814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.036758511602209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69117234106814,0.0,0.0,0.0,0.0,0.0,0.0,16.419103193738486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34558617053407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Component_9,0.0,0.0,0.4664180676541197,0.23320903382705982,0.0,0.23320903382705982,0.6996271014811793,1.3992542029623591,0.23320903382705982,0.46641806765411964,0.0,2.2087289358004254,0.3356105204323821,0.0006861915286592096,0.0,0.0,0.0,0.0,0.0,0.0,5.1014589815319304,0.0,0.0,0.0,0.0,0.0,1.3992542029623591,0.0,0.0,0.0,0.0,0.0,0.0,3.761390899249391e-16,0.0,0.0,0.0,0.0,0.0,0.6995962537988878,0.4664180676541197,0.0,0.0,0.0,0.6381561696220909,0.07605038807182533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.092031344997002,0.23320903382705985,0.9328361353082394,2.037348183272636,0.23320903382705982,0.9328361353082393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23320903382705982,0.0,0.4862692854953827,0.0,1.164198960252883,0.0,0.0,9.780391022667919,0.0,0.0,0.0,0.0,0.0,1.1288029833227953,0.6996271014811796,0.0,0.0,0.0,2.0988813044435384,0.0,0.0,0.16952446082176575,0.2910497404790584,0.0,0.0,0.0,0.0,0.0,0.0,2.7060061178211354e-10,0.0,0.0,0.0,0.0,1.3283117235088637,0.0,0.0,0.0,0.0,0.2909806461002612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23320903382705982,0.0,0.0,0.0,5.3295139679348305,0.540569066931892,0.3614945992364899,0.0,2.3302761721059704,1.166045169135299,0.15962078674031846,0.3356105204323821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46366561770821996,0.0,0.0,0.0,1.0883963891585902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.251225387008764,0.0,0.0,0.0,0.0,0.0,0.0,0.23320903382705982,0.0,1.3264746716128921,0.46641806765411964,0.0,0.0,0.0,0.0,0.0,0.29104974019547697,0.0,0.0,0.0,2.1528969523619006,0.0,0.0,0.0,1.8898180040790554e-15,0.0,17.944984120783406,0.9328361353082394,0.7570017223474568,0.46641806765411964,0.0,0.7432035246707209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.095260151070445e-15,0.0,5.0293835275242325,1.6324632367894187,0.0,0.0,13.083299310047739,1.8711030025837496,0.002156892212304554,1.3992542029623591,0.33780986306791916,0.0,0.9663493727779814,0.0,0.0,0.0,0.6122255495706999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07605038807182533,0.0,0.0,0.0,0.0,0.0,17.252899197717834,0.0,0.0,1.3247148647031075,0.0,0.0,0.23320903382705982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9328361353082394,0.0,0.0,0.23320903382705985,0.0,0.0,0.46641806765411964,0.0,0.7965564989059104,0.0,0.5820268602903841,0.0,0.2909806461002612,0.6927144041236526,0.0,3.427329746879987,0.0
