,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9
Deep House,0.0,4.614783458154405e-194,3.398727043139872e-236,0.0,0.0,1.5664916826247262,0.0,3.875890863678661e-93,1.7900133764915386e-92
Lofi Girl,6.492839169378729,0.0,0.0,2.2035749104223674e-96,0.0,0.0,0.0,6.321578535554421e-74,0.0
Peaceful Piano,2.2023561360099185e-213,0.0,0.0,0.0,0.0,2.0177300479673707e-139,0.0,0.42633266369076034,1.735647887518186e-152
Esquenta Sertanejo,0.0,0.0,0.0,0.0,1.6461057311016445,0.0,0.0,0.0,0.0
Baila Reggaeton,0.0,0.0,1.3785819082568631e-203,0.0,2.4603921676700094e-131,0.0,1.4278460276279081,0.0,9.037033099617941e-109
Songs to sing in the shower,0.0,5.133118636722879e-118,0.39730872196062056,9.415540515454872e-123,0.0,1.064202711204712e-109,7.257195128755556e-156,0.0,0.3895928773568435
Hot country,0.0,0.0,3.021917565557019e-82,4.737826945341089e-134,0.0,0.0,0.0,0.0,0.42257604949978245
Mood Booster,0.0,0.02189472200187112,1.0297078166562298e-13,8.190515112584096e-149,0.0,5.235503355632789e-69,0.01509136807942741,8.338832838500168e-41,0.23214634980482407
Top Brazil,0.0,0.0,0.0,0.0,1.5932895044352817,0.0,7.498507581001477e-102,0.0,7.868260841585852e-172
BTS,0.0,6.333235330873337,0.0,0.0,0.0,2.454329500997567e-119,0.0,0.0,5.769955841553357e-35
Lofi Fruit,2.9018056842639552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All out 2010s,0.0,6.394287365331406e-109,1.7232056874855349e-137,4.5364012958006157e-42,0.0,1.524333722694583e-38,4.51106757723744e-22,1.43913682068046e-65,0.5228483324319342
90s hiphop,2.883831417582176e-232,0.0,1.0744728263832444e-141,4.119388105216329,0.0,4.00541153e-316,0.0,0.0,1.752833196307855e-54
All out 90s,0.0,1.8633601330616885e-158,1.9350116449391062,0.47738610006903565,0.0,3.360238008342206e-57,1.5085007171582385e-38,0.0,0.03115339514493062
Chill Hits,0.0,2.9075995270733507e-135,4.577609567896727e-137,5.330450141098883e-122,0.0,1.6596300584925238e-145,2.764097002701293e-257,0.0,0.33662837841508086
Beast mode,0.0,0.044244403867957555,4.309080885627705e-28,4.939798306143284e-08,0.0,1.7292217602783044,0.18300850588021753,7.865346664099464e-81,0.44657658975836967
Songs to sing in the car,0.0,0.022064023744225288,0.42777886222105427,3.339965075317134e-108,0.0,7.491447116210793e-106,1.871609315505496e-142,0.0,0.24812751860258211
All out 80s,0.0,0.0,2.2094339151751385,0.0,0.0,0.0,4.3111336130322386e-244,0.0,3.103452902745729e-28
All put 2000s,0.0,5.318627181344767e-175,0.39485618276526646,0.34932569093371973,0.0,1.4799041561106154e-261,5.699144935332683e-31,0.0,0.6491237561328337
Rock Classics,0.0,0.0,5.512279471835391,0.00016395146618477778,0.0,5.596385389892155e-292,0.0,0.0,7.23730707590076e-58
All out 2010s.1,0.0,6.394287365331406e-109,1.7232056874855349e-137,4.5364012958006125e-42,0.0,1.5243337226945817e-38,4.51106757723744e-22,1.43913682068046e-65,0.5228483324319342
Viva latino,0.0,0.0,5.4025248985414946e-176,0.0,1.082341078661193e-50,0.0,1.7919946789692536,0.0,2.956345337533253e-111
RapCavjer,0.0,3.85171774483103e-105,1.4644649272899729e-182,1.8364170599839767e-07,1.318948403186023e-56,2.4370804507344153e-111,7.188272577069032e-78,0.0,0.2793298256580858
Top 50,0.0,0.08679001138997249,1.5188662591563195e-107,0.009375554092812226,0.0,2.2749005328608643e-65,0.46194697863088596,0.0,0.10047385907652522
Today's Top hit,0.0,0.08822566238882264,5.763037879276229e-141,5.422890084055743e-14,0.0,2.6600864496456346e-133,0.17286130193142804,0.0,0.1065732904145058
